Genre,Year,Title,From,Extras,Remarks
Drama,2011,The Beaver,DVDR,,
Drama|Horror|Thriller,2011,The Rite,DVDR,,
Drama|Romance,2002,Swingers,DVDR,,
Action|Sci-Fi|Thriller ,2011,I Am Number Four,DVDR,,
Action|Adventure|Thriller,2000,Space Cowboys,DVDR,,
Comedy,2011,The Hangover Part II,DVDR,,
Comedy,2011,Bad Teacher ,DVDR,,
Adventure|Drama|Thriller,2006,Blood Diamond ,DVDR,,
Crime|Drama|Mystery,1986,Manhunter,DVDR,,
Crime|Thriller,1991,The Silence of the Lambs,DVDR,,
Crime|Drama|Thriller,2001,Hannibal,DVDR,,
Crime|Drama|Mystery,2002,Red Dragon,DVDR,,
Crime|Thriller,2007,Hannibal Rising,DVDR,,
Crime|Drama|Thriller,2010,Animal Kingdom,DVDR,,
Drama|Mystery|Thriller,2011,The Resident ,DVDR,,
Drama|Thriller,2002,One Hour Photo,DVDR,,
Horror|Thriller ,2007,Rogue,DVDR,,
Thriller,2011,The Entitled,DVDR,,
Crime|Drama|Romance,2010,London Boulevard,DVDR,,
Drama|Mystery|Thriller,2011,Unknown,DVDR,,
Drama|Romance,2010,Blue Valentine,DVDR,,
Crime|Thriller,2011,Blitz,DVDR,,
Comedy|Drama,2011,Gooische vrouwen,DVDR,,
Crime|Drama|Thriller,2010,Snabba Cash,DVDR,,
Comedy|Fantasy|Romance,2009,The Invention of Lying,DVDR,,
Drama|Romance,2006,The Painted Veil,DVDR,,
Drama|Music,2010,Country Strong,DVDR,,
Comedy|Family ,2011,Marley & Me: The Puppy Years,DVDR,,
Action|Comedy|Crime ,2010,Wild Target,DVDR,,
Action|Adventure|Comedy,2010,The Sorcerer's Apprentice,DVDR,,
Action|Crime|Drama,2011,Colombiana,DVDR,,
Drama,2008,Sleepwalking,DVDR,,
Drama,2010,Whistleblower,DVDR,,
Drama,2010,Contre toi,DVDR,,
Drama|Thriller,2000,The Contender,DVDR,,
Action|Sci-Fi ,2011,World Invasion: Battle Los Angeles,DVDR,,
Drama|Thriller,2008,Fifty Dead Men Walking,DVDR,,
Drama|Romance,1993,Indecent Proposal,DVDR,,
Crime|Drama,2008,What Doesn't Kill You,DVDR,,
Drama,2009,A Single Man,DVDR,,
Comedy|Drama|Romance ,2008,"Definitely, Maybe",DVDR,,
Crime|Drama|History ,2010,The Conspirator,DVDR,,
Thriller,2011,The River Murders,DVDR,,
Crime|Drama|Thriller ,2011,Trespass ,DVDR,,
Action|Crime|Thriller,2011,Killer Elite,DVDR,,
Comedy|Drama ,2008,What Just Happened,DVDR,,
Drama|Thriller,2007,The Life Before Her Eyes,DVDR,,
Family|Comedy|Adventure ,1996,101 Dalmatians,DVDR,,
Family|Comedy|Adventure ,2000,102 Dalmatians,DVDR,,
Family|Adventure|Drama,1993,free willy,DVDR,,
Family|Adventure|Drama,1995,Free Willy 2: The Adventure Home,DVDR,,
Family|Adventure|Drama,1997,Free Willy 3: The Rescue ,DVDR,,
Family,2010,Free Willy: Escape from Pirate's Cove,DVDR,,
Comedy|Drama|Family,1992,Beethoven,DVDR,,
Comedy|Family|Romance ,1993,Beethoven's 2nd,DVDR,,
Comedy|Family,2000,Beethoven's 3rd,DVDR,,
Comedy|Family,2001,Beethoven's 4th,DVDR,,
Comedy|Family|Adventure,2003,Beethoven's 5th,DVDR,,
Comedy|Family,2008,Beethoven's Big Break,DVDR,,
Comedy,2003,Anger Management,DVDR,,
Romance|Comedy|Drama ,1983,Terms of Endearment,DVDR,,
Thriller|Crime|Drama,1996,Blood and Wine,DVDR,,
Biography|Crime|Drama  ,1992,Hoffa,DVDR,,
Crime|Drama,1982,The Border,DVDR,,
Comedy|Romance ,2003,Something's Gotta Give,DVDR,,
Comedy|Drama|Romance,1997,As Good as It Gets,DVDR,,
Comedy|Drama|Romance ,2010,How Do You Know,DVDR,,
Crime|Drama ,1969,Easy Rider,DVDR,,
Drama,1975,One Flew Over the Cuckoo's Nest,DVDR,,
Crime|Drama|Thriller,2011,Drive ,DVDR,,
Drama|Horror|Thriller,2009,Carriers ,DVDR,,
Drama|Horror ,1980,The Shining,DVDR,,
Comedy|Drama|Romance,2011,"Crazy, Stupid, Love.",DVDR,,
Drama,2011,The Music Never Stopped,DVDR,,
Comedy|Romance ,2010,Barry Munday,DVDR,,
Biography|Comedy|Drama,2010,Mr. Nice,DVDR,,
Animation|Biography|Drama ,2010,Howl ,DVDR,,
Drama,2010,Sympathy for Delicious,DVDR,,
Crime|Drama|Romance ,1990,La Femme Nikita ,DVDR,,
Comedy ,2011,The Change-Up,DVDR,,
Action|Comedy|Mystery,2007,Hot Fuzz,DVDR,,
Action|Comedy|Crime ,1989,K-9,DVDR,,
Action|Comedy|Crime ,2002,K-9: P.I.,DVDR,,
Action|Comedy|Crime ,1999,K-911,DVDR,,
Horror|Thriller ,2010,Don't Be Afraid of the Dark,DVDR,Yes,
Thriller,2010,The Debt ,DVDR,yes,
Drama|Romance ,2011,One Day,DVDR,,
Crime|History|Thriller,2011,De Heineken ontvoering,DVDR,,
Crime|Drama|Mystery,2010,All Good Things,DVDR,,
Comedy|Romance  ,2010,Our Family Wedding,DVDR,,
Drama,2010,Schemer/Dusk,DVDR,,
Comedy|Drama|Romance,2011,The Rum Diary,DVDR,,
Thriller|Mystery|Drama ,1994,The Client,DVDR,,
Action|Adventure|Comedy ,2010,The Sorcerer's Apprentice,DVDR,,
Biography|Drama|Thriller ,2011,A Dangerous Method,DVDR,,
Crime|Drama  ,2011,De Bende van Oss,DVDR,,
Adventure|Drama|Mystery,2011,Extremely Loud & Incredibly Close,DVDR,,
Comedy|Drama|Romance ,2011,The Artist,DVDR,,
Comedy|Drama ,2011,This Must Be the Place ,DVDR,,
Drama|Thriller ,2011,We Need to Talk About Kevin,DVDR,,
Adventure|Drama|Family ,2011,Hugo,DVDR,,
Biography|Crime|Drama,2011,J. Edgar ,DVDR,,
Drama|Thriller ,2011,Margin Call,DVDR,,
Drama|Romance|Sci-Fi ,2011,Perfect Sense,DVDR,,
Action|Drama|Thriller ,2011,Seeking Justice,DVDR,,
Action|Adventure|Drama ,2011,The Grey,DVDR,,
Drama,2010,A Family,DVDR,,
Action|Crime|Drama ,2003,De zaak Alzheimer/The Memory of a Killer,DVDR,,
Drama|Romance ,1994,Forrest Gump,DVDR,,
Drama|History|War ,2011,Jin líng shí san chai/The Flowers of War,DVDR,,
Thriller,2011,The Mortician,DVDR,,
Biography|Drama ,1990,Henry & June,DVDR,,
Drama|Thriller ,2011,The Ledge,DVDR,,
Drama|Music|Romance,1984,Footloose,DVDR,,
Horror|Thriller ,1975,Jaws,DVDR,,
Horror,1978,Jaws 2,DVDR,,
Horror,1983,Jaws 3-D,DVDR,,
Adventure|Thriller    ,1987,Jaws: The Revenge,DVDR,,
Biography|Drama ,2011,My Week with Marilyn,DVDR,,
Drama|Thriller,1991,De onfatsoenlijke vrouw,DVDR,,
Action|Drama|Family    ,1984,The Karate Kid,DVDR,,
Mystery|Thriller ,2006,The Da Vinci Code,DVDR,,
Drama|Thriller ,2004,The Machinist,DVDR,,
Action|Thriller|War  ,1986,Iron Eagle,DVDR,,
Action|Drama|Romance,1988,Iron Eagle II,DVDR,,
Action|Drama ,1992,Aces: Iron Eagle III ,DVDR,,
Comedy|Drama,2011,Young Adult,DVDR,,
Action|Crime|Thriller ,1971,Dirty Harry,DVDR,,
Action|Mystery|Thriller ,1973,Dirty Harry 2/Magnum Force,DVDR,,
Action|Thriller ,1976,Dirty Harry 3/The Enforcer,DVDR,,
Action|Thriller ,1983,Dirty Harry 4/Sudden Impact,DVDR,,
Action|Crime|Thriller ,1988,Dirty Harry 5/The Dead Pool,DVDR,,
,2000,Dirty Harry: 2000 - Out Of The Shadows,DVDR,,
Action|Family|Romance ,1986,"The Karate Kid, Part II",DVDR,,
Action|Drama|Family  ,1989,"The Karate Kid, Part III",DVDR,,
Action|Drama|Family,2010,The Karate Kid,DVDR,,
Drama|Sci-Fi|Sport,2011,Real Steel,DVDR,,
Mystery|Thriller,2009,Angels & Demons,DVDR,,
Comedy|Drama ,2011,Carnage,DVDR,,
Comedy|Sport ,2011,Goon ,DVDR,,
Action,2011,Recoil,DVDR,,
Biography|Drama ,2009,SM-rechter,DVDR,,
Crime|Thriller,2008,TBS,DVDR,,
Comedy|Sport,1997,All Stars,DVDR,,
Comedy|Drama,2011,All Stars 2: Old Stars,DVDR,,
 Biography|Crime|Drama,2005,Capote,DVDR,,
Drama|Romance|War,1996,The English Patient,DVDR,,
Western,1992,Unforgiven,DVDR,,
Comedy|Drama|Romance,1995,Waiting to Exhale,DVDR,,
Crime|Drama|Music,2001,The Caveman's Valentine,DVDR,,
Comedy|Drama|Music ,2006,The Groomsmen,DVDR,,
Drama,2000,Requiem for a Dream,DVDR,,
Crime|Drama ,2006,Even Money,DVDR,,
Action|Mystery|Thriller ,2008,Eagle Eye,DVDR,,
Biography|Drama ,2010,Frankie & Alice,DVDR,,
Adventure|Drama|Thriller ,2012,Dark Tide,DVDR,,
Crime|Drama|Thriller,1997,Johnny Depp: Donnie Brasco,DVDR,3,
Horror|Mystery ,1999,Johnny Depp: Sleep Hollow,DVDR,3,
Drama|Romance ,2000,Johnny Depp: Chococlate,DVDR,3,
Action|Thriller ,2003,Johnny Depp: Once Upon a Time in Mexico,DVDR,4,
Drama|Horror|Musical ,2007,Johnny Depp: Sweeney Todd: The Demon Barber of Fleet Street,DVDR,4,
Biography|Crime|Drama ,2009,Johnny Depp: Public Enemies,DVDR,4,
Action|Adventure|Fantasy ,2003,Johnny Depp: Pirates of the Caribbean: The Curse of the Black Pearl,DVDR,5,
Action|Adventure|Fantasy ,2006,Johnny Depp: Pirates of the Caribbean: Dead Man's Chest,DVDR,5,
Action|Adventure|Fantasy ,2007,Johnny Depp: Pirates of the Caribbean: At World's End,DVDR,6,
Biography|Drama|Family ,2004,Johnny Depp: Finding Neverland,DVDR,7,
Adventure|Fantasy|Mystery,2009,Johnny Depp: The Imaginarium of Doctor Parnassus,DVDR,7,
Adventure|Family|Fantasy ,2010,Johnny Depp: Alice in Wonderland,DVDR,7,
Action|Romance|Thriller ,2010,Johnny Depp: The Tourist,DVDR,8,
Animation|Adventure|Comedy,2011,Johnny Depp: Rango,DVDR,8,
Comedy|Drama|Romance,2011,Johnny Depp: The Rum Diary,DVDR,8,
Comedy,2011,Johnny Depp: Jack and Jill,DVDR,9,
Comedy|Drama|Romance,1993,Johnny Depp: Benny & Joon,DVDR,9,
Drama,2004,Johnny Depp: The Libertine,DVDR,9,
Action|Fantasy,1989,Batman,DVDR,,
Action|Fantasy ,1992,Batman Returns,DVDR,,
Action|Crime|Fantasy ,1995,Batman Forever,DVDR,,
Action|Crime|Fantasy ,1997,Batman & Robin,DVDR,,
Action|Adventure|Drama ,2005,Batman Begins,DVDR,,
Action|Crime|Drama ,2008,The Dark Knight,DVDR,,
Biography|Comedy|Crime,2002,Catch Me If You Can,DVDR,,
Action|Sci-Fi|Thriller,2011,Cowboys & Aliens,DVDR,,
Drama|Romance ,1986,Nine 1/2 Weeks,DVDR,,
Drama|Fantasy,2009,The Lovely Bones,DVDR,,
Action|Drama|War,1998,Saving Private Ryan,DVDR,,
Adventure|Drama|Family ,1982,E.T. the Extra-Terrestrial ,DVDR,,
Action|Adventure|Comedy ,2004,The Librarian: Quest for the Spear,DVDR,,
Drama|Romance ,1997,Titanic,DVDR,,
Drama|Romance ,1989,Wild Orchid,DVDR,,
Action|Crime|Drama,2012,Contraband,DVDR,,
Documentary|Crime,2011,Into the Abyss,DVDR,,
Biography|Drama|Music ,1988,Bird,DVDR,,
Action|Thriller ,2011,Haywire,DVDR,,
Crime|Drama|History,1978,Midnight Express,DVDR,,
Comedy|Crime|Drama,1997,Midnight in the Garden of Good and Evil,DVDR,,
Drama,2011,Shame,DVDR,,
Drama|Thriller,2010,Stone,DVDR,,
Crime|Drama|Thriller  ,1996,Striptease,DVDR,,
Drama|Romance ,2012,The Vow,DVDR,,
Adventure|Drama,1990,White Hunter Black Heart,DVDR,,
Crime|Drama|Mystery  ,1999,True Crime,DVDR,,
Drama,1979,Kort Amerikaans/Crew Cut,DVDR,,
Drama|Romance,1979,Twee Vrouwen/Twice a Woman,DVDR,,
Biography|Drama|History,1993,Schindler's List,DVDR,Yes,2-DVDs
Drama|Sci-Fi ,2010,Riverworld,DVDR,,
Action|Adventure|Sci-Fi,2008,Iron Man,DVDR,,
Mystery|Sci-Fi|Thriller ,2011,Super 8,DVDR,,
Action|Adventure|Sci-Fi,2010,Iron Man 2,DVDR,,
Horror|Mystery|Thriller ,2010,Shelter,DVDR,,
Drama,2010,Win/Win,DVDR,,
Comedy|Drama  ,2010,Les petits mouchoirs/Little White Lies,DVDR,,
Comedy|Drama|Romance ,2010,Beginners,DVDR,,
Family,2012,Flicka: Country Pride,DVDR,,
Drama|Mystery|Thriller ,2010,In My Sleep,DVDR,,
Comedy|Sport  ,2008,Semi-Pro,DVDR,,
Drama|Mystery|Thriller,1997,The Game,DVDR,,
Drama|Thriller ,2011,Caged,DVDR,,
Drama|Thriller ,1999,Instinct,DVDR,,
Comedy|Drama  ,2008,Finding Amanda,DVDR,,
Drama,2010,Svinalängorna/Beyond,DVDR,,
Action,2012,Jesse Stone: Benefit of the Doubt,DVDR,,
Drama|Romance,2008,Keith,DVDR,,
Action|Thriller ,1983,Sudden Impact,DVDR,,
Action|Comedy|Romance,2012,This Means War,DVDR,,
Comedy|Romance  ,2004,Welcome to Mooseport,DVDR,,
Comedy|Drama|Romance  ,2005,A Lot Like Love,DVDR,,
Action|Comedy|Crime  ,2003,National Security,DVDR,,
Action|Drama|Thriller ,2009,Prison Break The Final Break,DVDR,,
Action|Crime|Drama ,2002,Undisputed,DVDR,,
Drama|Mystery|Sci-Fi,2008,Blindness,DVD,No,
Drama,2009,Gifted Hands,DVD,Yes,
Action|Crime|Drama ,2010,Faster,DVD,Yes,DVD hapert/DVDR versie beschikbaar
Drama,2007,Reign Over Me,DVD,Yes,
Horror|Thriller ,2010,The Reef,DVDR,,
Biography|Comedy|Drama  ,2011,Intouchables,DVD,Yes,
Drama,2010,Rabbit Hole,DVDR,,
Drama,2012,The Lucky One ,DVD,,
Action|Thriller|Sci-Fi  ,2012,Lockout,DVDR,Yes,
Adventure|Comedy ,1996,My Fellow Americans ,DVDR,,
Action|Crime|Thriller,2012,Safe,DVDR,,
Action|Adventure|Drama ,2012,Snow White and the Huntsman,DVDR,,
Drama,1998,Down in the Delta,DVDR,,
Biography|Drama|History ,2004,Der Untergang/Downfall,DVDR,,
Drama,2001,I Am Sam ,DVDR,,
Comedy|Romance|Drama,1987,Moonstruck,DVDR,,
Action|Biography|Crime ,2005,Domino,DVDR,,
Biography|Drama|War ,2002,The Pianist,DVDR,,
Drama|History ,1995,Apollo 13,DVDR,,
Crime|Drama|Thriller ,1996,Eye for an Eye,DVDR,,
Action|Thriller ,2002,Desert Saints,DVDR,,
Action|Adventure|Crime ,1993,The Fugitive,DVDR,Yes,
Drama,2011,The Help,DVD ,Yes,
Drama,2006,After Thomas,DVD,,no subtitles
Comedy|Fantasy ,2012,Ted,DVDR,,
Comedy|Drama|Romance,2012,Good Deeds,DVDR,,
Comedy|Drama|Family ,2011,Foster,DVDR,,
Comedy|Crime|Drama,1992,Sneakers,,,
Drama|Romance|Sci-Fi,2003,Code 46,,,
Comedy|Romance,2009,Confessions of a Shopaholic,,,
Drama|Thriller,2009,The Cry of the Owl,,,
Crime|Mystery|Thriller ,2009,Dark Country,,,
Action|Drama|Sport  ,2009,Fighting,,,
Drama,2012,Le fils de l'autre,,,
Horror|Sci-Fi|Thriller,2008,Cloverfield,,,
Action|Comedy|Drama ,1986,Heartbreak Ridge,,,
Action|Crime|Drama ,2001,Heist,,,
Biography|Drama ,2004,The Aviator,,,
Drama|War ,1984,Birdy,,,
Crime|Drama|Thriller ,2008,Twilight,,,
Adventure|Drama|Fantasy,2009,The Twilight Saga: New Moon,,,
Adventure|Drama|Fantasy,2010,The Twilight Saga: Eclipse,,,
Adventure|Drama|Fantasy,2011,The Twilight Saga: Breaking Dawn (part 1),,,
Adventure|Drama|Fantasy,2012,The Twilight Saga: Breaking Dawn (part 2),,,
Action|Adventure|Mystery,2012,The Bourne Legacy,DVD,,
Comedy|Music,1978,Thank God It's Friday,,,
Comedy|Drama|Family,2011,Sharpay's Fabulous Adventure,,,
Crime|Drama|Thriller,2012,Deadfall,,,
Crime|Drama|Horror,1999,Resurrection,,,
,2008,Aldo Moro,DVDR,Yes,2-DVDS
,,Freight/Shank,DVDR,,
,,Sex and the City 2 (2010) & The A-Team (2010)-BOX 10,DVDR,,
,,Knight and Day (2010) & The Karate Kid (2010)-BOX 19,DVDR,,
,,how the west was won,,,
Drama|Sci-Fi ,2011,Melancholia ,DVDR,,
Comedy|Drama,2007,Lars and the Real Girl,DVDR,,
Drama|History|Thriller,2012,Argo,,,
Adventure|Drama|Sci-Fi ,1977,Close Encounters of the Third Kind,DVDR,,
Action|Comedy|Romance ,2012,Hit and Run,DVDR,,
Comedy|Crime|Drama,1973,The Sting,,,
Horror|Thriller,2011,Babycall,,,
Action|Crime|Drama ,1998,Ronin,,,
Crime|Drama|Thriller ,1995,Hackers,,,
Action|Drama|Thriller ,2011,Sacrifice,,,
Family,2012,I Am Gabriel ,,,
Thriller,2010,The Hunter,,,
Crime|Drama|Mystery ,2011,The Girl with the Dragon Tattoo,DVD,Yes,
Drama|Music|Romance,2012,Streetdance 2,,,
,,oscars,DVDR,,
Action|Adventure,2012,Soldiers of Fortune,,,
Action|Comedy|Drama,2011,Salvation Boulevard,,,
,,info-2X SRT Movie's Box 173 = Game Change (2012) & Love (2011),,,
,,info-2 X Movie Box 43 = Beyond (2012) & Freerunner (2011),,,
Comedy|Drama|Romance,2011,Salmon Fishing in the Yemen,,,
Action|Comedy|Drama,2011,Salvation Boulevard,,,
Drama,2012,Trouble with the Curve,,,
Comedy|Romance,2012,The Five-Year Engagement,,,
Comedy|Drama,2011,Your Sister's Sister,,,
Drama,2010,Welcome to the Rileys,,,
Crime|Drama|Thriller ,2012,End of Watch,,,
Drama|Romance,2012,The Words ,,,
Action|Thriller ,2011,Sleepless Night/Nuit blanche,,,
Crime|Drama,2011,Edwin Boyd,,,
Adventure|Mystery|Sci-Fi ,2012,Prometheus,,,
Drama|Music|Romance,2012,Step Up 4 Miami Heat,,,
Drama,2010,El Mal Ajeno -  For the Good of Others,,,
Action|Adventure|Comedy,2004,Catch That Kid,,,
Comedy|Drama|Romance ,2007,The Cake Eaters,,,
Drama,2012,Cosmopolis,,,
Comedy|Drama|Romance ,2012,What to Expect When You're Expecting,,,
Action|Comedy|Crime,2012,21 Jump Street,,,
Drama,2012,About Cherry,,,
Action|Crime|Mystery,2012,Alex Cross,,,
Drama,2012,Being Flynn,,,
Comedy|Fantasy ,2012,Dark Shadows,,,
Action|Drama|Sport ,2012,The Philly Kid,,,
Action,2012,The Avengers,,,
Action|Crime|Drama,2012,The Dark Knight Rises,,,
Comedy|Drama|Romance ,2007,In the Land of Women,,,
Drama,2012,Bel Ami,,,
Drama|Romance,2011,The Deep Blue Sea,,,
Comedy|Fantasy|Romance,2012,Ruby Sparks,,,
Drama|Romance,2011,360,,,
Comedy|Drama|Family ,2011,Red Dog,,,
Drama|Thriller,2006,Five Fingers,,,
Crime|Drama  ,2012,Lawless,,,
Adventure|Drama|Sci-Fi,2001,Artificial Intelligence AI,,,
Mystery|Thriller,2012,The Raven,,,
Adventure|Drama,1991,White Fang,,,
Adventure|Family ,1994,White Fang 2: Myth of the White Wolf,,,
Action|Adventure|Sci-Fi ,2000,X-Men ,,2-DVDs,Definitive Collection
Action|Adventure|Sci-Fi ,2006,X-Men: The Last Stand,,,
Action|Adventure|Sci-Fi ,2003,X2 ,,2-DVDs,Special Edition
Action|Adventure|Sci-Fi ,2009,X-Men Origins: Wolverine ,,,
Crime|Mystery|Thriller,1992,Thunderheart ,,,
Comedy|Drama|Romance,2009,Adventureland ,,,
Action|Drama,2008,Chocolate,,,
Comedy|Drama,2007,Year of the Dog,,,
Action|Crime|Thriller,2012,Taken 2,,,
Thriller,2012,The Paperboy,,,
Drama|Mystery|Sci-Fi ,2012,Cloud Atlas,,,
Drama ,2012,Won't Back Down,,,
Drama|Thriller,2012,Shadow Dancer,,,
Comedy|Drama|Romance ,2012,The Sessions,,,
Drama|History|Thriller ,2012,Zero Dark Thirty,,,
Crime|Thriller  ,2011,Hodejegerne -  Headhunters,,,
,2010,Olycksfågeln/The Jinx,,,
Action|Thriller,2012,À l'aveugle ,,,
,2012,Hijacked,,,
Drama|Thriller,2010,Alting bliver godt igen ,,,
Drama,2000,Före stormen/Before the Storm,,,
Action,2012,Red Dawn,,,
Adventure|Drama|Fantasy,2012,Life of Pi  ,,,
Drama|Sport ,2012,Chasing Mavericks,,,
Thriller,2013,Riddle,,,
Action|Drama|Thriller,1986,The Brotherhood of Justice,,,
Action|Drama  ,2012,186 Dollars to Freedom,,,
Adventure|Crime|Drama ,2012,Django Unchained,,,
Mystery|Thriller,2012,Dans la maison,,,
Action|Crime|Thriller ,2013,The Last Stand,,,
Comedy|Drama|Romance  ,2012,Silver Linings Playbook,,,
Biography|Drama,2012,Hitchcock,,,
Crime|Drama|Thriller,2006,Jar City / Mýrin,,,
Drama|Mystery|Thriller,2004,The Clearing,,,
Drama|Mystery|Sci-Fi ,2004,The Forgotten,,,
Horror|Sci-Fi|Thriller,2011,Apollo 18 ,,,
Drama|Romance,1987,Dirty Dancing,,,
Crime|Thriller ,2004,Suspect Zero,,,
Adventure|Drama|Family,2005,Duma,,,
Action|Comedy|Family,2007,Firehouse Dog,,,
Comedy,2006,The Dog Problem,,,
Drama|Romance  ,2002,The Twilight Samuari / Tasogare Seibei ,,,
Drama|Family|Sport ,2011,Will,,,
Adventure|Drama,2006,The Celestine Prophecy ,DVD,,
Crime|Drama|Horror ,2007,Whisper,DVD,,
Crime|Thriller ,2013,Pawn,,,
Thriller,2013,The Devil's in the Details,,,
Drama|Romance ,2012,To the Wonder ,,,
Thriller,2012,Harodim,,,
Drama,2012,90 minutter/90 minutes,,,
Drama|Horror|Thriller ,2010,The Wolfman,,,
Action|Adventure|Thriller  ,2012,Skyfall,,,
Comedy|Family|Romance ,2011,Zookeeper,,,
Thriller,2013,Crush,,,
Drama|Mystery|Romance ,2013,Safe Haven,,,
Action|Crime|Drama ,2012,Gangster Squad,,,
Thriller,2012,The Company You Keep,,,
Action|Crime,2013,Parker,,,
Crime|Drama|Thriller,2013,Side Effects,,,
,,,,,
,,Arne Dahl 1-5,,,
,,Beck,,,
,,,,,
,,Bron a.k.a. The Bridge,,,
,,Government aka Borgen,,,
,,info-Arne Dahl 2 (2012) Ont Blod aka Kentucky Killer 2 Dvd's,,,
,,info-Maria Wern Box (2012),,,
,,Irene Huss,,,
,,Maria Wern,,,
,,the jinx,,,
,,The Killing,,,
,,The Spiral (2012) 2x Dvd5,,,
,,Those Who Kill,,,
,,Van Veeteren,,,
,,Varg Veum,,,
,,,,,
,,,,,
,,Irene Huss - Den tysta cirkeln (2011),,,
,,,,,
,,,,,
,,Hot in Cleveland,,,
,,,,,
Horror|Sci-Fi|Thriller,2013,Dark Skies,,,
Drama|Thriller ,2013,Assault on Wall Street,,,
Action|Drama|Thriller,2013,Snitch,,,
Crime|Drama|Thriller ,2013,Broken City,,,
Comedy|Crime ,2012,Gambit,,,
Action|Thriller ,2012,Premium Rush,,,
Action|Drama|Thriller,2012,Sofia / Assassin's Bullet,,,
Action|Crime|Thriller ,2013,Assassins Run / White Swan,,,
Action|Crime|Drama,2012,Stolen,,,
Comedy|Family  ,2012,Thunderstruck,,,
Drama|Romance|Sport,1980,Spetters,,,
Action|Fantasy|Horror,2012,Abraham Lincoln: Vampire Hunter,,,
Action|Crime|Drama ,2012/2013,For the Love of Money/Gangster Squad,,,
Drama|Mystery|Thriller,2013,Stoker,,,
Action|Crime|Drama         ,1993,Donato and Daughter                              ,DVDR,,
"Drama, Thriller ",2014,Dying of the Light,,,
Comedy|Drama ,2013,The English Teacher,,,
Comedy|Drama|Horror,2013,The Rambler,,,
Action|Thriller ,2013,The Numbers Station,,,
Drama|Thriller,2012,Trade of Innocents,,,
Documentary|Sport ,2008,Tyson,,,
Action|Thriller,2012,A Dark Truth,,,
Drama ,2012,Jagten/The Hunt,,,
Thriller,2013,Phantom,,,
"Adventure, Comedy, Romance ",2006,The Darwin Awards,,,
Action|Adventure|Sci-Fi ,2013,G.I. Joe Retaliation,,,
Crime|Drama|Mystery,2013,Trance,,,
"Drama, Music, Romance ",1980,The Jazz Singer,,,
Crime|Romance|Thriller,2013,Rushlights,,,
Comedy|Romance|Sport,2012,Playing for Keeps,,,
Drama|History|Mystery ,1976,All the President's Men,DVDR,2-DVDs,
Biography|Drama|Music,1984,Amadeus,divx,,
Biography|Drama,1981,Christiane F. - Wir Kinder vom Bahnhof Zoo,divx,,
Action|Crime|Thriller,1997,Con Air,,,
Action|Crime|Thriller ,2012,Bullet to the Head,,,
Action|Thriller,2013,Olympus Has Fallen,,,
Comedy|Crime|Drama ,2013,Pain & Gain,,,
Crime|Drama|Thriller ,2013,Skytten,,,
Horror|Thriller ,2013,Summoned,,,
Drama,1984,Places in the Heart,,,
Crime|Drama|Thriller,2013,Only God Forgives,,,
"Drama, Mystery, Thriller ",1983,De Vierde Man,,,
"Comedy, Romance ",2010,Ceremony,,,
,,,,,
,,Hip Hop Abs,3 dvds,,
,,Insanity,5 dvds + abs,,
,,,,,
,,,,,
Comedy,2012,Comme un chef,,,
Action|Crime|Drama  ,2013,Hummingbird,divx,,
Sci-Fi|Thriller,2013,Europa Report,,,
Horror|Mystery|Sci-Fi  ,2011,The Thing,,,
"Action, Sci-Fi ",2006,Connors' War,,,
"Drama, Horror, Thriller ",2004,12 Days of Terror,,,
Action|Sci-Fi|Thriller,2008,Death Race,divx,,
Action|Sci-Fi|Thriller,2010,Death Race 2,divx,,
Drama|History,2012,No,,,
Action|Adventure|Sci-Fi ,2011,Green Lantern,divx,,
Drama|Thriller ,2010,Inhale,divx,,
Crime,2010,Caught in the Crossfire,,,
Thriller,2011,Jerusalem Countdown,divx,,
Action|Sci-Fi|Thriller,2011,In Time,,,
Crime|Drama|History ,2011,Texas Killing Fields,,,
Comedy,2013,The Big Wedding,,,
Action|Drama|Thriller ,2013,White House Down,,,
Action|Adventure|Sci-Fi ,2013,Iron Man 3,,,
Biography|Drama ,2013,Lovelace ,,,
Crime|Drama  ,2012,The Place Beyond The Pines,,,
Drama|Romance  ,2013,The Great Gatsby,,,
Drama,2011,Another Happy Day,divx,,
"Thriller, Drama ",1977,The Domino Principle/The Domino Killings,,,
Comedy|Drama ,2012,Arthur Newman,,,
Biography|Crime|Thriller,2013,The Frozen Ground,,,
"Comedy, Crime ",1988,A Fish Called Wanda,,,
Action|Horror|Sci-Fi  ,2004,Resident Evil: Apocalypse,,,
Comedy ,2013,The Hangover Part III ,,,
"Crime, Thriller",2013,Empire State,,,
Action|Sci-Fi|Thriller ,2009,Gamer ,,,
Biography|Crime|Drama,2012,The Iceman,,,
Comedy | Horror,2006,Hatchet ,,,
Horror|Thriller,2010,Hatchet II,,,
Biography|Crime|Drama,1994,Heavenly Creatures,,,
Biography|Drama,2013,jOBS ,,,
Comedy|Crime|Thriller ,2013,The Family/Malavita ,,,
Crime|Drama|Thriller ,2013,The East,,,
Comedy|Drama ,2007,Why Did I Get Married?,,,
Drama|Romance|War ,2013,Love and Honor,,,
Action|Thriller,2013,The Marine 3: Homefront,,,
Action|Adventure|Western,2013,The Lone Ranger,,,
Horror|Thriller ,2013,The Conjuring,,,
Drama|Mystery|Thriller  ,2012,The Motel Life,,,
